Post_ID,Date,Post_Type,Caption_Length,Hashtags,Posting_Hour,Video_Duration_Sec,Likes,Comments,Shares,Saves,Followers,Reach,Impressions,Profile_Visits,Website_Clicks,New_Followers
55,2022-02-24,Reel,88.0,11.0,16,5,338.0,24.0,21.0,31.0,4567,5679,8769,185,19,41
56,2022-02-25,Image,226.0,3.0,11,0,15.0,1.0,2.0,1.0,4577,300,383,11,2,2
57,2022-02-26,Story,155.0,7.0,13,4,133.0,4.0,12.0,10.0,4588,1969,2418,65,15,16
58,2022-02-27,Reel,283.0,20.0,11,87,337.0,31.0,67.0,47.0,4598,5221,8176,256,34,41
59,2022-02-28,Reel,182.0,11.0,13,72,177.0,12.0,41.0,11.0,4609,4634,7643,240,41,20
60,2022-03-01,Image,292.0,3.0,6,0,192.0,8.0,28.0,16.0,4619,2927,3944,147,8,40
61,2022-03-02,Image,36.0,5.0,12,0,282.0,24.0,38.0,23.0,4630,3722,6078,212,28,19
62,2022-03-03,Image,202.0,1.0,19,0,232.0,11.0,34.0,24.0,4640,2839,4405,106,5,10
63,2022-03-04,Image,231.0,18.0,9,0,425.0,40.0,57.0,56.0,4651,4742,7250,225,61,50
64,2022-03-05,Reel,95.0,17.0,15,89,326.0,15.0,71.0,16.0,4661,4276,5631,148,8,24
65,2022-03-06,Story,206.0,15.0,8,8,23.0,1.0,5.0,1.0,4672,300,418,14,3,3
66,2022-03-07,Image,240.0,19.0,18,0,170.0,7.0,35.0,22.0,4682,3297,4016,195,53,36
67,2022-03-08,Reel,69.0,14.0,9,33,487.0,41.0,89.0,39.0,4693,6610,9435,377,57,125
68,2022-03-09,Story,191.0,20.0,10,8,110.0,10.0,10.0,,4703,2977,3650,93,5,26
69,2022-03-10,Reel,278.0,3.0,15,18,296.0,28.0,72.0,9.0,4714,6344,8212,86,20,14
70,2022-03-11,Reel,94.0,17.0,11,49,517.0,25.0,92.0,51.0,4724,5526,7183,70,16,9
71,2022-03-12,Image,210.0,10.0,10,0,23.0,1.0,5.0,3.0,4735,300,384,15,2,3
72,2022-03-13,Reel,247.0,2.0,13,68,234.0,19.0,30.0,12.0,4745,4545,7256,90,21,14
73,2022-03-14,Image,226.0,12.0,12,0,153.0,7.0,30.0,12.0,4756,2525,4287,60,14,12
74,2022-03-15,Reel,92.0,3.0,9,55,261.0,27.0,52.0,12.0,4766,4456,6217,223,13,57
75,2022-03-16,Reel,17.0,,7,85,301.0,23.0,65.0,38.0,4777,6170,8858,348,23,110
76,2022-03-17,Carousel,41.0,16.0,16,0,406.0,43.0,93.0,21.0,4787,4369,6503,84,20,20
77,2022-03-18,Reel,227.0,10.0,13,26,277.0,25.0,46.0,33.0,4798,6960,9187,135,25,18
78,2022-03-19,Reel,41.0,4.0,22,82,383.0,30.0,71.0,,4808,4980,6347,274,17,65
79,2022-03-20,Carousel,126.0,9.0,21,0,467.0,33.0,66.0,61.0,4819,7870,12091,149,40,51
80,2022-03-21,Carousel,89.0,8.0,10,0,266.0,27.0,45.0,28.0,4829,4333,6584,179,29,49
81,2022-03-22,Reel,248.0,3.0,12,5,361.0,25.0,47.0,46.0,4840,7182,11558,221,34,36
82,2022-03-23,Carousel,185.0,3.0,8,0,28.0,2.0,6.0,1.0,4850,728,955,14,2,2
83,2022-03-24,Carousel,45.0,15.0,17,0,228.0,23.0,25.0,22.0,4861,5320,8577,159,40,45
84,2022-03-25,Story,128.0,0.0,18,15,33.0,1.0,5.0,3.0,4871,787,1191,31,3,5
85,2022-03-26,Reel,217.0,8.0,11,82,412.0,13.0,69.0,29.0,4882,4585,5808,177,52,61
86,2022-03-27,Reel,104.0,9.0,10,6,51.0,1.0,12.0,8.0,4892,907,1252,13,3,3
87,2022-03-28,Reel,32.0,17.0,11,77,267.0,23.0,53.0,30.0,4903,3081,4448,164,41,34
88,2022-03-29,Carousel,131.0,7.0,6,0,249.0,12.0,36.0,26.0,4913,3064,4849,51,11,16
89,2022-03-30,Carousel,149.0,10.0,11,0,191.0,13.0,32.0,21.0,4924,2630,3323,96,25,9
90,2022-03-31,Reel,234.0,10.0,11,53,90.0,9.0,6.0,5.0,4934,2467,3391,131,20,16
91,2022-04-01,Image,153.0,14.0,18,0,218.0,10.0,28.0,32.0,4945,3804,5144,71,15,7
92,2022-04-02,Story,221.0,3.0,20,3,110.0,8.0,22.0,15.0,4955,2216,3539,57,3,9
93,2022-04-03,Carousel,182.0,12.0,10,0,473.0,41.0,91.0,19.0,4966,6650,11130,89,16,15
94,2022-04-04,Reel,279.0,12.0,15,77,370.0,26.0,91.0,25.0,4976,6840,11118,284,76,94
95,2022-04-05,Image,14.0,7.0,11,0,28.0,2.0,5.0,4.0,4987,300,493,11,0,1
96,2022-04-06,Story,237.0,0.0,14,15,13.0,1.0,2.0,1.0,4997,300,360,17,2,1
97,2022-04-07,Story,73.0,3.0,6,4,91.0,3.0,10.0,8.0,5008,1367,2084,67,7,12
98,2022-04-08,Image,46.0,5.0,12,0,39.0,1.0,3.0,1.0,5019,553,727,20,1,2
99,2022-04-09,Carousel,211.0,0.0,21,0,443.0,23.0,52.0,49.0,5029,4912,6810,222,61,42
100,2022-04-10,Reel,286.0,17.0,7,61,271.0,14.0,47.0,38.0,5040,3361,5389,106,19,20
101,2022-04-11,Story,57.0,7.0,17,11,18.0,1.0,2.0,1.0,5050,300,495,13,0,2
102,2022-04-12,Reel,28.0,11.0,16,66,381.0,33.0,60.0,26.0,5061,4820,7575,167,45,20
103,2022-04-13,Story,197.0,19.0,16,10,118.0,8.0,23.0,15.0,5071,1516,1752,38,11,6
104,2022-04-14,Reel,72.0,10.0,13,17,352.0,12.0,36.0,53.0,5082,7138,9268,112,7,32
105,2022-04-15,Reel,195.0,6.0,17,64,215.0,18.0,49.0,26.0,5092,3483,4204,165,13,52
106,2022-04-16,Image,13.0,16.0,18,0,214.0,20.0,50.0,11.0,5103,2723,4232,47,13,12
107,2022-04-17,Image,272.0,5.0,19,0,229.0,19.0,45.0,9.0,5113,6481,10892,120,7,27
108,2022-04-18,Image,227.0,14.0,6,0,19.0,1.0,4.0,1.0,5124,300,473,10,1,1
109,2022-04-19,Image,280.0,0.0,22,0,119.0,8.0,18.0,17.0,5134,3034,3574,91,9,21
110,2022-04-20,Reel,136.0,3.0,23,77,223.0,20.0,52.0,21.0,5145,5168,7831,100,16,30
111,2022-04-21,Story,210.0,0.0,14,7,97.0,6.0,16.0,10.0,5155,2033,2531,58,8,9
112,2022-04-22,Image,71.0,4.0,8,0,24.0,1.0,1.0,1.0,5166,300,425,8,1,2
113,2022-04-23,Reel,145.0,6.0,10,43,220.0,7.0,18.0,10.0,5176,6247,8625,131,25,13
114,2022-04-24,Carousel,223.0,9.0,11,0,112.0,6.0,22.0,4.0,5187,2840,3761,143,37,40
115,2022-04-25,Story,28.0,2.0,17,9,64.0,6.0,7.0,6.0,5197,1455,2358,19,3,6
116,2022-04-26,Reel,215.0,9.0,7,90,290.0,9.0,51.0,28.0,5208,3290,4559,83,21,8
117,2022-04-27,Reel,,2.0,6,76,196.0,14.0,38.0,22.0,5218,4386,5944,176,21,30
118,2022-04-28,Reel,168.0,8.0,20,69,722.0,37.0,123.0,83.0,5229,10158,16797,115,33,35
119,2022-04-29,Story,150.0,7.0,15,15,49.0,1.0,12.0,5.0,5239,596,991,29,1,6
120,2022-04-30,Image,243.0,,12,0,88.0,5.0,15.0,10.0,5250,2299,3496,40,11,4
121,2022-05-01,Image,37.0,7.0,19,0,129.0,9.0,21.0,11.0,5260,1735,2736,45,4,15
122,2022-05-02,Image,195.0,2.0,10,0,196.0,9.0,33.0,17.0,5271,2158,2719,71,20,8
123,2022-05-03,Reel,155.0,19.0,21,74,421.0,16.0,43.0,26.0,5281,8666,10334,330,52,90
124,2022-05-04,Story,236.0,2.0,15,6,110.0,3.0,23.0,7.0,5292,2317,3289,62,7,12
125,2022-05-05,Carousel,110.0,10.0,18,0,230.0,12.0,29.0,35.0,5302,3429,4068,142,21,39
126,2022-05-06,Carousel,77.0,1.0,9,0,182.0,7.0,13.0,8.0,5313,2771,3523,43,8,8
127,2022-05-07,Reel,172.0,18.0,7,60,329.0,14.0,44.0,39.0,5323,5234,6470,139,41,32
128,2022-05-08,Reel,183.0,17.0,15,27,717.0,60.0,176.0,97.0,5334,8176,11631,425,38,106
129,2022-05-09,Reel,69.0,11.0,20,22,667.0,39.0,158.0,38.0,5344,11265,18736,419,66,99
130,2022-05-10,Story,136.0,19.0,9,8,23.0,1.0,1.0,3.0,5355,300,496,14,3,1
131,2022-05-11,Reel,171.0,2.0,10,77,548.0,46.0,33.0,85.0,5365,6139,9479,229,27,22
132,2022-05-12,Reel,168.0,7.0,15,71,256.0,9.0,36.0,22.0,5376,6630,8809,246,36,75
133,2022-05-13,Carousel,21.0,7.0,15,0,225.0,12.0,49.0,13.0,5386,4526,7076,227,21,74
134,2022-05-14,Carousel,294.0,0.0,17,0,270.0,17.0,23.0,29.0,5397,3648,4403,164,23,18
135,2022-05-15,Image,97.0,15.0,22,0,275.0,25.0,50.0,11.0,5407,3827,5556,61,15,11
136,2022-05-16,Reel,165.0,14.0,18,7,667.0,25.0,141.0,68.0,5418,11592,19575,558,80,69
137,2022-05-17,Image,70.0,1.0,17,0,415.0,34.0,60.0,13.0,5428,5955,8257,337,55,42
138,2022-05-18,Reel,51.0,19.0,20,66,609.0,40.0,144.0,36.0,5439,8859,10251,316,33,57
139,2022-05-19,Reel,154.0,10.0,14,19,311.0,34.0,45.0,27.0,5449,7625,10835,110,14,24
140,2022-05-20,Reel,277.0,13.0,9,59,380.0,12.0,76.0,19.0,5460,5984,9035,246,44,36
141,2022-05-21,Image,180.0,19.0,15,0,182.0,18.0,24.0,9.0,5470,3758,5763,119,31,12
142,2022-05-22,Reel,116.0,8.0,23,9,671.0,55.0,91.0,68.0,5481,8083,12307,206,23,55
143,2022-05-23,Reel,118.0,6.0,23,60,310.0,12.0,38.0,31.0,5491,4624,6902,83,19,27
144,2022-05-24,Reel,93.0,7.0,10,39,254.0,24.0,41.0,23.0,5502,4609,6173,114,26,19
145,2022-05-25,Carousel,269.0,12.0,13,0,209.0,13.0,28.0,29.0,5512,5828,6793,317,60,33
146,2022-05-26,Reel,22.0,20.0,14,85,439.0,33.0,38.0,40.0,5523,5355,8460,280,40,60
147,2022-05-27,Image,151.0,18.0,23,0,186.0,12.0,36.0,28.0,5533,3401,4105,157,21,41
148,2022-05-28,Carousel,239.0,7.0,22,0,220.0,17.0,33.0,14.0,5544,5862,8350,236,39,55
149,2022-05-29,Image,106.0,10.0,7,0,15.0,1.0,2.0,2.0,5554,300,370,6,0,0
150,2022-05-30,Image,298.0,10.0,10,0,327.0,31.0,76.0,49.0,5565,3543,4580,105,23,27
151,2022-05-31,Carousel,148.0,2.0,10,0,91.0,4.0,18.0,14.0,5575,2393,3293,85,7,23
152,2022-06-01,Reel,57.0,14.0,11,51,299.0,30.0,41.0,28.0,5586,3866,5063,95,19,11
153,2022-06-02,Story,161.0,10.0,15,7,274.0,28.0,24.0,26.0,5596,3892,5595,98,13,33
154,2022-06-03,Reel,92.0,16.0,10,75,615.0,62.0,149.0,84.0,5607,7102,8885,263,16,45
155,2022-06-04,Carousel,51.0,2.0,7,0,143.0,9.0,32.0,9.0,5617,2825,3707,37,1,5
156,2022-06-05,Carousel,18.0,19.0,16,0,227.0,14.0,15.0,30.0,5628,2455,3675,47,3,10
157,2022-06-06,Carousel,12.0,16.0,17,0,22.0,1.0,,1.0,5638,300,443,3,0,0
158,2022-06-07,Image,259.0,0.0,20,0,431.0,24.0,66.0,58.0,5649,5878,7393,104,26,11
159,2022-06-08,Story,196.0,17.0,8,15,,2.0,7.0,8.0,5659,1232,1785,24,4,7
160,2022-06-09,Reel,219.0,1.0,6,79,281.0,28.0,28.0,20.0,5670,4755,8014,257,48,42
161,2022-06-10,Reel,35.0,4.0,8,38,133.0,6.0,27.0,15.0,5680,3474,5217,134,37,15
162,2022-06-11,Reel,36.0,7.0,6,77,199.0,6.0,32.0,23.0,5691,5529,8729,169,40,26
163,2022-06-12,Reel,140.0,16.0,11,68,697.0,63.0,129.0,21.0,5701,8532,12605,254,73,57
164,2022-06-13,Story,229.0,2.0,18,6,199.0,14.0,30.0,11.0,5712,2371,3432,41,12,9
165,2022-06-14,Carousel,188.0,13.0,15,0,511.0,39.0,120.0,63.0,5722,6223,8887,304,57,77
166,2022-06-15,Reel,278.0,13.0,8,41,507.0,20.0,90.0,72.0,5733,5349,6686,291,42,41
167,2022-06-16,Carousel,173.0,2.0,20,0,312.0,20.0,39.0,35.0,5743,6029,8029,136,36,45
168,2022-06-17,Reel,183.0,6.0,16,27,334.0,12.0,26.0,24.0,5754,3882,5329,68,11,17
169,2022-06-18,Carousel,183.0,2.0,15,0,448.0,15.0,54.0,57.0,5764,5993,9814,355,75,110
170,2022-06-19,Image,203.0,11.0,10,0,229.0,12.0,53.0,31.0,5775,2547,2977,132,16,15
171,2022-06-20,Reel,32.0,19.0,10,82,91.0,5.0,9.0,12.0,5785,1440,1912,41,6,12
172,2022-06-21,Image,32.0,17.0,21,0,228.0,22.0,31.0,28.0,5796,3855,6392,88,15,24
173,2022-06-22,Story,133.0,20.0,19,8,47.0,2.0,9.0,6.0,5806,670,1127,36,7,11
174,2022-06-23,Reel,269.0,16.0,14,64,677.0,73.0,84.0,46.0,5817,7816,9478,458,37,53
175,2022-06-24,Reel,295.0,6.0,13,11,754.0,73.0,166.0,90.0,5827,10810,14916,391,113,101
176,2022-06-25,Carousel,271.0,8.0,6,0,92.0,4.0,18.0,9.0,5838,1897,2315,109,25,27
177,2022-06-26,Carousel,74.0,11.0,19,0,308.0,15.0,37.0,12.0,5848,4360,6967,236,26,21
178,2022-06-27,Image,128.0,9.0,9,0,236.0,13.0,20.0,26.0,5859,5090,6199,193,19,18
179,2022-06-28,Story,219.0,1.0,20,14,66.0,6.0,14.0,2.0,5869,1191,1980,41,5,4
180,2022-06-29,Reel,299.0,19.0,23,62,403.0,41.0,49.0,12.0,5880,5789,8163,139,31,43
181,2022-06-30,Reel,28.0,11.0,8,61,463.0,44.0,85.0,36.0,5890,5499,7284,100,19,16
182,2022-07-01,Reel,98.0,18.0,14,13,381.0,25.0,80.0,35.0,5901,9635,13680,284,46,68
183,2022-07-02,Reel,142.0,7.0,21,18,616.0,,121.0,83.0,5911,11719,13847,249,55,55
184,2022-07-03,Carousel,278.0,7.0,7,0,239.0,24.0,26.0,9.0,5922,3844,6330,187,29,20
185,2022-07-04,Story,177.0,9.0,13,6,16.0,1.0,3.0,2.0,5932,300,366,11,2,1
186,2022-07-05,Reel,90.0,20.0,10,13,217.0,13.0,16.0,24.0,5943,5726,6835,134,24,16
187,2022-07-06,Reel,274.0,13.0,23,90,407.0,12.0,84.0,19.0,5953,4820,6502,270,37,25
188,2022-07-07,Reel,18.0,14.0,7,32,623.0,67.0,110.0,90.0,5964,7850,10160,409,113,126
189,2022-07-08,Story,189.0,9.0,14,4,17.0,1.0,4.0,1.0,5974,300,442,9,1,1
190,2022-07-09,Image,236.0,13.0,13,0,156.0,10.0,38.0,21.0,5985,4318,6707,131,38,40
191,2022-07-10,Carousel,232.0,16.0,12,0,129.0,11.0,23.0,6.0,5995,3497,4819,195,54,29
192,2022-07-11,Reel,281.0,18.0,6,73,667.0,37.0,80.0,89.0,6006,7860,10551,80,16,24
193,2022-07-12,Reel,150.0,7.0,18,31,445.0,14.0,80.0,37.0,6017,10921,15842,316,87,97
194,2022-07-13,Reel,86.0,4.0,18,85,579.0,20.0,107.0,87.0,6027,9495,14639,406,51,60
195,2022-07-14,Story,189.0,2.0,14,6,187.0,10.0,32.0,13.0,6038,2444,3060,136,18,29
196,2022-07-15,Reel,255.0,3.0,19,82,387.0,41.0,27.0,22.0,6048,9833,14902,255,74,81
197,2022-07-16,Reel,74.0,14.0,8,77,,15.0,77.0,48.0,6059,7256,10371,182,23,34
198,2022-07-17,Reel,249.0,12.0,17,68,392.0,20.0,33.0,52.0,6069,5562,7486,94,24,8
199,2022-07-18,Reel,77.0,7.0,17,52,451.0,40.0,101.0,25.0,6080,6485,8237,323,33,36
200,2022-07-19,Reel,198.0,9.0,18,52,964.0,39.0,120.0,48.0,6090,10993,13152,178,43,15
201,2022-07-20,Reel,40.0,2.0,13,30,799.0,31.0,122.0,112.0,6101,8781,10235,205,48,65
202,2022-07-21,Carousel,201.0,17.0,18,0,544.0,37.0,54.0,32.0,6111,6684,8728,248,47,39
203,2022-07-22,Reel,119.0,5.0,12,63,914.0,70.0,203.0,44.0,6122,10574,12806,156,32,35
204,2022-07-23,Reel,251.0,16.0,20,51,381.0,28.0,72.0,54.0,6132,10245,13553,166,30,33
205,2022-07-24,Reel,19.0,,17,9,227.0,12.0,26.0,23.0,6143,5354,8475,249,43,37
206,2022-07-25,Story,110.0,19.0,23,6,147.0,9.0,36.0,15.0,6153,2799,3268,141,30,31
207,2022-07-26,Carousel,68.0,9.0,11,0,123.0,12.0,16.0,11.0,6164,3400,4789,84,9,11
208,2022-07-27,Reel,71.0,20.0,22,63,279.0,18.0,48.0,13.0,6174,6688,8854,215,11,40
209,2022-07-28,Carousel,54.0,13.0,22,0,231.0,8.0,43.0,10.0,6185,3315,4996,66,18,18
210,2022-07-29,Carousel,214.0,20.0,7,0,300.0,20.0,68.0,31.0,6195,4582,7237,53,15,14
211,2022-07-30,Image,196.0,10.0,13,0,173.0,17.0,10.0,20.0,6206,3783,6209,157,31,43
212,2022-07-31,Image,261.0,14.0,21,0,326.0,18.0,,41.0,6216,6170,9755,222,42,57
213,2022-08-01,Image,190.0,1.0,14,0,81.0,3.0,10.0,6.0,6227,1188,1697,22,5,2
214,2022-08-02,Reel,224.0,12.0,11,28,465.0,37.0,84.0,21.0,6237,6825,8106,80,18,9
215,2022-08-03,Reel,76.0,17.0,7,88,833.0,48.0,110.0,115.0,6248,9372,14450,126,14,26
216,2022-08-04,Reel,135.0,7.0,13,43,474.0,45.0,91.0,41.0,6258,7633,11561,139,20,46
217,2022-08-05,Reel,61.0,5.0,6,8,362.0,30.0,71.0,51.0,6269,6925,9710,298,37,100
218,2022-08-06,Reel,177.0,11.0,10,74,243.0,8.0,28.0,14.0,6279,6168,9194,339,45,98
219,2022-08-07,Reel,242.0,8.0,16,87,840.0,91.0,65.0,33.0,6290,9983,16579,364,65,100
220,2022-08-08,Reel,98.0,5.0,20,90,930.0,36.0,104.0,72.0,6300,12249,17510,284,36,23
221,2022-08-09,Reel,62.0,5.0,18,78,1198.0,116.0,180.0,178.0,6311,12882,16948,735,58,150
222,2022-08-10,Carousel,270.0,10.0,8,0,216.0,7.0,39.0,18.0,6321,4181,6394,190,25,46
223,2022-08-11,Carousel,264.0,20.0,7,0,184.0,10.0,42.0,21.0,6332,2842,3498,115,7,22
224,2022-08-12,Image,258.0,11.0,20,0,224.0,8.0,17.0,24.0,6342,2474,4085,132,16,40
225,2022-08-13,Reel,104.0,4.0,7,54,383.0,13.0,73.0,28.0,6353,7207,11694,106,25,28
226,2022-08-14,Reel,153.0,4.0,22,53,599.0,27.0,136.0,80.0,6363,7903,9231,161,43,20
227,2022-08-15,Reel,40.0,10.0,6,76,369.0,25.0,54.0,38.0,6374,8112,13604,374,19,78
228,2022-08-16,Carousel,14.0,14.0,10,0,350.0,21.0,70.0,22.0,6384,5895,7195,167,29,40
229,2022-08-17,Image,271.0,13.0,13,0,20.0,1.0,1.0,3.0,6395,300,372,9,0,1
230,2022-08-18,Image,228.0,4.0,12,0,183.0,16.0,25.0,9.0,6405,3145,3998,178,19,31
231,2022-08-19,Carousel,229.0,9.0,12,0,295.0,17.0,53.0,35.0,6416,5488,8647,74,20,17
232,2022-08-20,Reel,216.0,6.0,23,55,576.0,38.0,129.0,70.0,6426,6632,10164,319,42,110
233,2022-08-21,Reel,253.0,12.0,16,59,729.0,32.0,158.0,48.0,6437,8730,12916,322,42,77
234,2022-08-22,Image,203.0,13.0,23,0,118.0,8.0,20.0,18.0,6447,2172,3549,114,17,35
235,2022-08-23,Reel,57.0,11.0,22,75,598.0,31.0,108.0,60.0,6458,8460,13167,425,72,48
236,2022-08-24,Image,298.0,7.0,15,0,383.0,20.0,40.0,44.0,6468,5162,8057,293,55,55
237,2022-08-25,Reel,297.0,17.0,12,66,663.0,47.0,163.0,45.0,6479,7765,11723,152,35,28
238,2022-08-26,Reel,101.0,14.0,14,30,424.0,43.0,74.0,51.0,6489,6527,9234,305,84,32
239,2022-08-27,Image,105.0,13.0,23,0,159.0,13.0,28.0,24.0,6500,2968,4659,56,15,15
240,2022-08-28,Image,285.0,3.0,13,0,331.0,28.0,54.0,17.0,6510,6522,9905,177,20,26
241,2022-08-29,Image,136.0,6.0,18,0,164.0,5.0,40.0,26.0,6521,3572,4543,190,35,44
242,2022-08-30,Reel,197.0,17.0,17,30,446.0,20.0,47.0,32.0,6531,7044,11516,378,91,93
243,2022-08-31,Carousel,220.0,20.0,19,0,296.0,12.0,68.0,31.0,6542,8234,12482,461,54,145
244,2022-09-01,Image,157.0,18.0,20,0,375.0,19.0,56.0,11.0,6552,5783,8626,264,54,28
245,2022-09-02,Image,211.0,9.0,15,0,272.0,24.0,28.0,20.0,6563,5098,7289,172,24,18
246,2022-09-03,Reel,213.0,12.0,9,75,267.0,16.0,21.0,18.0,6573,6139,10258,74,18,15
247,2022-09-04,Reel,245.0,4.0,23,66,373.0,38.0,88.0,58.0,6584,5182,7366,174,30,57
248,2022-09-05,Carousel,20.0,11.0,19,0,698.0,33.0,56.0,103.0,6594,8477,12048,210,58,59
